period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base
validation,z,tau,60m,G-seas-1d,209550,366,0.087464,0.085944,0.089037,0.29232,0.28725,0.29792,-0.0012827,-0.0037544,0.0012916,0.00025315,-6.6746e-05,0.00060216,0.0027869,G-raw-2h
validation,z,tau,45m,G-seas-1d,209550,366,0.086637,0.085087,0.088141,0.28992,0.28451,0.29551,0.0011197,-0.0013249,0.0037946,0.0004375,0.0001232,0.00081374,0.0014984,G-raw-2h
validation,z,tau,30m,G-seas-1d,209550,366,0.085509,0.084087,0.086993,0.28702,0.28175,0.29248,0.0019087,-0.00035348,0.0046762,0.00053215,0.00021113,0.00089604,-0.0020425,G-raw-2h
validation,z,tau,20m,G-seas-1d,209550,366,0.081768,0.080386,0.083099,0.27692,0.27156,0.28242,0.0057455,0.0037156,0.0082195,0.001107,0.00080772,0.0014537,0.00073968,G-raw-2h
validation,z,tau,15m,G-seas-1d,209550,366,0.082462,0.08112,0.083869,0.27874,0.27379,0.28432,0.0073903,0.0054312,0.0099088,0.0012686,0.00099384,0.0015816,-0.00013839,G-raw-2h
validation,z,tau,10m,G-seas-1d,209550,366,0.082096,0.08084,0.083262,0.27891,0.27402,0.28399,0.0090296,0.0068111,0.011602,0.0013807,0.0010685,0.001703,0.0015128,G-raw-2h
validation,z,tau,5m,G-seas-1d,209550,366,0.078635,0.077336,0.079903,0.26781,0.26332,0.27244,0.010075,0.0079791,0.012325,0.0016441,0.0013003,0.0019932,0.00042472,G-raw-2h
validation,z,tau,3m,G-seas-1d,209550,366,0.076787,0.075599,0.077911,0.26169,0.25745,0.2661,0.010307,0.0082301,0.012525,0.0017931,0.0014465,0.0021697,0.0009592,G-raw-2h
validation,z,tau,2m,G-seas-1d,209550,366,0.076395,0.075117,0.077604,0.2617,0.25721,0.26623,0.010804,0.0088583,0.01296,0.0020231,0.0016725,0.0023976,0.00045812,G-raw-2h
validation,z,tau,60m,G-blend-raw,209550,366,0.087783,0.086255,0.089351,0.29267,0.28758,0.29785,-0.00093532,-0.0023715,0.00058973,0.00057177,0.00037471,0.00076077,0.0027869,G-raw-2h
validation,z,tau,45m,G-blend-raw,209550,366,0.086414,0.084831,0.087903,0.28685,0.28193,0.29181,-0.0019591,-0.0033373,-0.0005527,0.00021403,3.0902e-05,0.00040697,0.0014984,G-raw-2h
validation,z,tau,30m,G-blend-raw,209550,366,0.08472,0.083284,0.086204,0.28142,0.27671,0.28646,-0.0036921,-0.005173,-0.0022615,-0.0002571,-0.00044472,-7.5886e-05,-0.0020425,G-raw-2h
validation,z,tau,20m,G-blend-raw,209550,366,0.079909,0.078528,0.081308,0.26635,0.26136,0.2712,-0.0048233,-0.0063438,-0.0033273,-0.00075285,-0.00094516,-0.00056094,0.00073968,G-raw-2h
validation,z,tau,15m,G-blend-raw,209550,366,0.080332,0.078987,0.081749,0.26591,0.26108,0.27076,-0.0054458,-0.0068223,-0.0040582,-0.00086168,-0.0010309,-0.00068658,-0.00013839,G-raw-2h
validation,z,tau,10m,G-blend-raw,209550,366,0.079627,0.078252,0.080834,0.26339,0.25859,0.26808,-0.0064901,-0.0078415,-0.0051434,-0.0010878,-0.001275,-0.0009099,0.0015128,G-raw-2h
validation,z,tau,5m,G-blend-raw,209550,366,0.075245,0.073857,0.076558,0.24895,0.24417,0.25346,-0.0087837,-0.010015,-0.0075101,-0.0017462,-0.0019216,-0.0015797,0.00042472,G-raw-2h
validation,z,tau,3m,G-blend-raw,209550,366,0.072806,0.07147,0.074134,0.2413,0.23668,0.24607,-0.010077,-0.011381,-0.0087321,-0.0021874,-0.0023763,-0.0019956,0.0009592,G-raw-2h
validation,z,tau,2m,G-blend-raw,209550,366,0.071894,0.070526,0.073208,0.24021,0.23522,0.24521,-0.01069,-0.01236,-0.0089563,-0.0024777,-0.0026654,-0.0022853,0.00045812,G-raw-2h
validation,z,tau,60m,G-blend,209550,366,0.08671,0.085115,0.088318,0.28779,0.28267,0.29288,-0.0058128,-0.0077582,-0.0038131,-0.00050081,-0.00073666,-0.00026544,0.0027869,G-raw-2h
validation,z,tau,45m,G-blend,209550,366,0.085632,0.08402,0.08715,0.28334,0.27806,0.28863,-0.0054617,-0.0072467,-0.0035402,-0.00056753,-0.00078395,-0.00032138,0.0014984,G-raw-2h
validation,z,tau,30m,G-blend,209550,366,0.083966,0.082509,0.085427,0.27752,0.27262,0.28273,-0.0075926,-0.0093892,-0.005729,-0.0010102,-0.0012227,-0.0007902,-0.0020425,G-raw-2h
validation,z,tau,20m,G-blend,209550,366,0.079598,0.078207,0.081003,0.26498,0.25993,0.27001,-0.0061952,-0.0077726,-0.0044512,-0.0010639,-0.0012438,-0.00086298,0.00073968,G-raw-2h
validation,z,tau,15m,G-blend,209550,366,0.080123,0.078769,0.081557,0.26524,0.26047,0.27022,-0.0061183,-0.0076323,-0.0045433,-0.0010706,-0.0012303,-0.00088921,-0.00013839,G-raw-2h
validation,z,tau,10m,G-blend,209550,366,0.079506,0.078147,0.08074,0.26316,0.25835,0.26789,-0.0067233,-0.0081827,-0.0051841,-0.0012094,-0.0013923,-0.0010158,0.0015128,G-raw-2h
validation,z,tau,5m,G-blend,209550,366,0.075202,0.073822,0.076532,0.24883,0.24412,0.2534,-0.0089087,-0.01016,-0.0075799,-0.0017895,-0.0019701,-0.0016199,0.00042472,G-raw-2h
validation,z,tau,3m,G-blend,209550,366,0.072785,0.071455,0.0741,0.2412,0.23654,0.24596,-0.010179,-0.011542,-0.0088577,-0.0022086,-0.0023953,-0.0020188,0.0009592,G-raw-2h
validation,z,tau,2m,G-blend,209550,366,0.071911,0.070553,0.073218,0.24021,0.23528,0.24508,-0.010694,-0.012312,-0.0089426,-0.0024607,-0.0026533,-0.0022674,0.00045812,G-raw-2h
validation,z,tau,60m,T-raw-2h,209550,366,0.08668,0.084902,0.088449,0.28888,0.28316,0.29468,-0.0047257,-0.0054045,-0.0040451,-0.0005312,-0.00067628,-0.00039437,0.0027869,G-raw-2h
validation,z,tau,45m,T-raw-2h,209550,366,0.085687,0.083887,0.087403,0.28488,0.27912,0.29027,-0.0039292,-0.0045872,-0.0032607,-0.00051277,-0.00064736,-0.00039482,0.0014984,G-raw-2h
validation,z,tau,30m,T-raw-2h,209550,366,0.084401,0.082807,0.086051,0.28095,0.27571,0.28636,-0.0041623,-0.0048063,-0.0035246,-0.00057559,-0.00070285,-0.00044197,-0.0020425,G-raw-2h
